,word,wordCount,wordImportance
441,save,20,0.1500997506234414
442,wan,20,0.1500997506234414
443,star,20,0.1500997506234414
444,far,20,0.1500997506234414
445,jasyla_,20,0.1500997506234414
446,went,20,0.1500997506234414
447,wireless,20,0.1500997506234414
448,class,20,0.1500997506234414
449,_giselle,20,0.1500997506234414
450,packaging,20,0.1500997506234414
451,audio,19,0.15799973749835935
452,war,19,0.15799973749835935
453,watching,19,0.15799973749835935
454,found,19,0.15799973749835935
455,yung,19,0.15799973749835935
456,nope,19,0.15799973749835935
457,idea,19,0.15799973749835935
458,ask,19,0.15799973749835935
459,google,19,0.15799973749835935
460,drive,19,0.15799973749835935
461,challenge,19,0.15799973749835935
462,~,19,0.15799973749835935
463,yvonneajones,19,0.15799973749835935
464,girls,19,0.15799973749835935
465,secret,19,0.15799973749835935
466,votethewanteduk,19,0.15799973749835935
467,count,19,0.15799973749835935
468,seen,19,0.15799973749835935
469,bitch,19,0.15799973749835935
470,vote,19,0.15799973749835935
471,wow,19,0.15799973749835935
472,lang,19,0.15799973749835935
473,month,19,0.15799973749835935
474,place,19,0.15799973749835935
475,luck,19,0.15799973749835935
476,discopriest,19,0.15799973749835935
477,code,19,0.15799973749835935
478,swtor,19,0.15799973749835935
479,copy,19,0.15799973749835935
480,louisvuitton,19,0.15799973749835935
481,course,19,0.15799973749835935
482,…,19,0.15799973749835935
483,plan,19,0.15799973749835935
484,talk,19,0.15799973749835935
485,thanksbaby,19,0.15799973749835935
486,em,19,0.15799973749835935
487,cable,18,0.16677750069271266
488,ps,18,0.16677750069271266
489,2014,18,0.16677750069271266
490,12reasonswhy,18,0.16677750069271266
491,hello,18,0.16677750069271266
492,weekend,18,0.16677750069271266
493,com,18,0.16677750069271266
494,ipad,18,0.16677750069271266
495,thruyoureyes,18,0.16677750069271266
496,ka,18,0.16677750069271266
497,update,18,0.16677750069271266
498,nothing,18,0.16677750069271266
499,crazy,18,0.16677750069271266
500,list,18,0.16677750069271266
501,girlfriend,18,0.16677750069271266
502,picture,18,0.16677750069271266
503,mean,18,0.16677750069271266
504,pnut,18,0.16677750069271266
505,running,18,0.16677750069271266
506,buy,18,0.16677750069271266
507,blogging,18,0.16677750069271266
508,working,18,0.16677750069271266
509,fucking,18,0.16677750069271266
510,galaxy,18,0.16677750069271266
511,care,18,0.16677750069271266
512,goes,18,0.16677750069271266
513,feeling,18,0.16677750069271266
514,tenshin26100,18,0.16677750069271266
515,worth,18,0.16677750069271266
516,est,18,0.16677750069271266
517,art,18,0.16677750069271266
518,😂😂😂,18,0.16677750069271266
519,weight,18,0.16677750069271266
520,15,18,0.16677750069271266
521,add,18,0.16677750069271266
522,kca,18,0.16677750069271266
523,yesterday,17,0.17658794190993107
524,become,17,0.17658794190993107
525,box,17,0.17658794190993107
526,change,17,0.17658794190993107
527,tech,17,0.17658794190993107
528,bieber,17,0.17658794190993107
529,power,17,0.17658794190993107
530,meet,17,0.17658794190993107
531,single,17,0.17658794190993107
532,needs,17,0.17658794190993107
533,lil_rip_3000,17,0.17658794190993107
534,12,17,0.17658794190993107
535,blue,17,0.17658794190993107
536,seriously,17,0.17658794190993107
537,😍,17,0.17658794190993107
538,without,17,0.17658794190993107
539,sunday,17,0.17658794190993107
540,retail,17,0.17658794190993107
541,walmart,17,0.17658794190993107
542,biz,17,0.17658794190993107
543,hugs,17,0.17658794190993107
544,sony,17,0.17658794190993107
545,gr8t,17,0.17658794190993107
546,quality,17,0.17658794190993107
547,journaldugeek,17,0.17658794190993107
548,jonsboricuagal,17,0.17658794190993107
549,thxmailcarrier,17,0.17658794190993107
550,cat,17,0.17658794190993107
551,stand,17,0.17658794190993107
552,local,17,0.17658794190993107
553,report,17,0.17658794190993107
554,others,17,0.17658794190993107
555,complete,17,0.17658794190993107
